STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT11
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/23/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/24/2025,,,,,0.26,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",3/26/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/13/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/14/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/15/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/16/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/17/2025,,,,,0,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/18/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/21/2025,,,,,1.37,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/22/2025,,,,,0.13,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/23/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/24/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/25/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",5/31/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",6/19/2025,,,,,0.81,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/4/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/5/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/6/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/7/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/8/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/9/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/11/2025,,,,,0.28,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/12/2025,,,,,0.33,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/13/2025,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",8/15/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",9/24/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
US1ILCK0150,"ARLINGTON HEIGHTS 1.2 S, IL US",10/26/2025,,,,,0,,0,,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/1/2025,,,,,0,,0,0,,57,21,21,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/2/2025,,,,,0,,0,0,,29,11,25,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/3/2025,,,,,0,,0,0,,36,21,31,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/4/2025,,,,,0.21,,0,0,,47,31,44,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/5/2025,,,,,1.01,,0,0,,48,41,46,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/6/2025,,,,,0.11,,0,0,,48,24,25,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/7/2025,,,,,0,,0,0,,41,25,31,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/8/2025,,,,,,,0,0,,35,22,31,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/9/2025,,,,,0,,0,0,,49,26,32,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/10/2025,,,,,0,,0,0,,59,30,34,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/11/2025,,,,,0,,0,0,,68,34,35,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/12/2025,,,,,0,,0,0,,54,31,35,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/13/2025,,,,,0,,0,0,,54,35,35,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/14/2025,,,,,0,,0,0,,62,32,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/15/2025,,,,,0.52,,0,0,,79,48,60,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/16/2025,,,,,0.12,,0,0,,64,29,29,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/17/2025,,,,,0.21,,0,0,,33,18,19,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/18/2025,,,,,0,,0,0,,52,19,41,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/19/2025,,,,,0,,0,0,,69,37,37,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/20/2025,,,,,0.98,,1.7,1,,49,28,28,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/21/2025,,,,,0,,0,0,,44,24,33,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/22/2025,,,,,0,,0,0,,57,31,37,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/23/2025,,,,,0,,0,0,,46,30,38,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/24/2025,,,,,0.24,,0,0,,51,32,32,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/25/2025,,,,,0,,0,0,,51,28,28,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/26/2025,,,,,0,,0,0,,51,26,29,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/27/2025,,,,,0,,0,0,,53,29,41,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/28/2025,,,,,0.84,,0,0,,53,41,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/29/2025,,,,,0,,0,0,,78,46,60,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/30/2025,,,,,0.08,,0,0,,69,47,62,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",3/31/2025,,,,,0.27,,0,0,,75,31,31,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/1/2025,,,,,0,,0,0,,46,26,26,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/2/2025,,,,,0.48,,0,0,,43,26,40,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/3/2025,,,,,0.61,,0,0,,69,40,45,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/4/2025,,,,,0,,0,0,,48,31,34,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/5/2025,,,,,0.27,,0,0,,47,34,39,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/6/2025,,,,,0,,0,0,,54,34,34,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/7/2025,,,,,0.01,,0,0,,49,34,37,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/8/2025,,,,,0,,0,0,,44,20,20,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/9/2025,,,,,0,,0,0,,42,20,32,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/10/2025,,,,,0.03,,0,0,,42,32,36,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/11/2025,,,,,0,,0,0,,46,30,32,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/12/2025,,,,,0,,0,0,,50,32,33,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/13/2025,,,,,0,,0,0,,61,31,51,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/14/2025,,,,,0,,0,0,,64,51,53,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/15/2025,,,,,0.03,,0,0,,63,38,38,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/16/2025,,,,,0,,0,0,,56,29,29,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/17/2025,,,,,0,,0,0,,53,28,45,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/18/2025,,,,,0.09,,0,0,,62,45,61,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/19/2025,,,,,0.27,,0,0,,75,42,42,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/20/2025,,,,,0,,0,0,,59,42,50,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/21/2025,,,,,0.62,,0,0,,61,48,50,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/22/2025,,,,,0,,0,0,,55,33,33,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/23/2025,,,,,0.35,,0,0,,74,33,54,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/24/2025,,,,,0.01,,0,0,,76,48,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/25/2025,,,,,0,,0,0,,79,46,47,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/26/2025,,,,,0.55,,0,0,,58,44,44,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/27/2025,,,,,0,,0,0,,54,33,50,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/28/2025,,,,,0,,0,0,,69,44,56,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/29/2025,,,,,0,,0,0,,83,55,71,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",4/30/2025,,,,,0,,0,0,,73,40,44,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/1/2025,,,,,0.4,,0,0,,61,44,51,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/2/2025,,,,,0.2,,0,0,,67,48,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/3/2025,,,,,0,,0,0,,57,44,44,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/4/2025,,,,,0,,0,0,,55,43,43,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/5/2025,,,,,0.15,,0,0,,58,43,46,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/6/2025,,,,,0.01,,0,0,,59,41,45,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/7/2025,,,,,0,,0,0,,77,45,52,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/8/2025,,,,,0,,0,0,,75,44,45,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/9/2025,,,,,0,,0,0,,58,35,41,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/10/2025,,,,,0,,0,0,,66,41,55,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/11/2025,,,,,0,,0,0,,74,46,58,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/12/2025,,,,,0,,0,0,,73,42,49,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/13/2025,,,,,0.05,,0,0,,80,49,59,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/14/2025,,,,,0,,0,0,,78,57,62,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/15/2025,,,,,0,,0,0,,80,62,62,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/16/2025,,,,,0.1,,0,0,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/17/2025,,,,,0,,0,0,,85,50,52,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/18/2025,,,,,0,,0,0,,70,49,57,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/19/2025,,,,,0,,0,0,,66,41,42,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/20/2025,,,,,0.38,,0,0,,54,41,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/21/2025,,,,,0.2,,0,0,,55,45,46,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/22/2025,,,,,0.06,,0,0,,50,45,46,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/23/2025,,,,,0.01,,0,0,,57,43,43,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/24/2025,,,,,0,,0,0,,65,41,55,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/25/2025,,,,,0.1,,0,0,,68,47,48,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/26/2025,,,,,0,,0,0,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/27/2025,,,,,0,,0,0,,68,55,55,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/28/2025,,,,,0.18,,0,0,,69,53,53,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/29/2025,,,,,0.02,,0,0,,63,52,52,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/30/2025,,,,,0,,0,0,,72,52,53,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",5/31/2025,,,,,0,,0,0,,74,50,50,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/1/2025,,,,,0,,0,0,,66,42,56,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/2/2025,,,,,0,,0,0,,71,46,46,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/3/2025,,,,,0,,0,0,,82,45,66,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/4/2025,,,,,0.49,,0,0,,86,60,65,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/5/2025,,,,,0.4,,0,0,,66,52,52,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/6/2025,,,,,0.01,,0,0,,72,51,60,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/7/2025,,,,,0,,0,0,,76,55,69,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/8/2025,,,,,0.13,,0,0,,77,58,71,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/9/2025,,,,,0.86,,0,0,,80,54,54,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/10/2025,,,,,0,,0,0,,69,50,55,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/11/2025,,,,,0,,0,0,,77,55,64,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/12/2025,,,,,0,,0,0,,89,62,65,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/13/2025,,,,,0.09,,0,0,,82,60,60,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/14/2025,,,,,0.15,,0,0,,70,57,60,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/15/2025,,,,,0,,0,0,,75,60,61,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/16/2025,,,,,0,,0,0,,81,56,63,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/17/2025,,,,,0,,0,0,,85,63,72,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/18/2025,,,,,0.32,,0,0,,90,68,68,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/19/2025,,,,,1.17,,0,0,,80,63,64,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/20/2025,,,,,0.05,,0,0,,83,64,66,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/21/2025,,,,,0,,0,0,,84,66,80,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/22/2025,,,,,0,,0,0,,92,77,83,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/23/2025,,,,,0,,0,0,,92,76,83,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/24/2025,,,,,0,,0,0,,93,70,78,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/25/2025,,,,,1.08,,0,0,,93,71,73,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/26/2025,,,,,0.01,,0,0,,90,73,78,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/27/2025,,,,,0.01,,0,0,,93,73,76,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/28/2025,,,,,0,,0,0,,86,60,76,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/29/2025,,,,,0,,0,0,,88,64,78,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",6/30/2025,,,,,0,,0,0,,92,70,75,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/1/2025,,,,,0,,0,0,,90,66,69,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/2/2025,,,,,0,,0,0,,87,61,67,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/3/2025,,,,,0,,0,0,,88,63,65,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/4/2025,,,,,,,0,0,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/5/2025,,,,,,,0,0,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/6/2025,,,,,,,0,0,,,,,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/7/2025,,,,,0.42,,0,0,,,,64,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/8/2025,,,,,0,,0,0,,83,61,69,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/9/2025,,,,,0.05,,0,0,,83,66,69,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/10/2025,,,,,0,,0,0,,87,62,67,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/11/2025,,,,,1.04,,0,0,,86,67,72,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/12/2025,,,,,0.2,,0,0,,89,66,69,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/13/2025,,,,,0,,0,0,,83,61,71,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/14/2025,,,,,0,,0,0,,81,55,61,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/15/2025,,,,,0,,0,0,,85,61,66,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/16/2025,,,,,0.81,,0,0,,90,61,75,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/17/2025,,,,,0.31,,0,0,,90,66,68,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/18/2025,,,,,0.01,,0,0,,75,57,57,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/19/2025,,,,,0,,0,0,,82,54,74,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/20/2025,,,,,0.35,,0,0,,82,66,67,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/21/2025,,,,,0.04,,0,0,,78,60,67,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/22/2025,,,,,0,,0,0,,83,67,68,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/23/2025,,,,,0,,0,0,,86,68,74,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/24/2025,,,,,0,,0,0,,93,74,79,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/25/2025,,,,,0.92,,0,0,,92,71,74,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/26/2025,,,,,0.08,,0,0,,82,72,75,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/27/2025,,,,,0.05,,0,0,,82,75,75,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/28/2025,,,,,0.6,,0,0,,90,75,75,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/29/2025,,,,,0.01,,0,0,,91,68,74,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/30/2025,,,,,0,,0,0,,92,74,74,,,,,,,,,,,,,,
USC00115097,"LISLE MORTON ARBORETUM, IL US",7/31/2025,,,,,1.22,,0,0,,80,66,66,,,,,,,,,,,,,,
